,Rows,Cols
0,4,18
1,7,8
2,8,0
3,9,4
4,10,31
5,10,34
6,13,16
7,14,3
8,16,26
9,18,24
10,19,32
11,21,21
12,22,2
13,22,26
14,23,28
15,24,31
16,30,4
17,33,1
18,34,18
