Row 	 Counts 
0 	 0 
1 	 10 
2 	 10 
3 	 10 
4 	 10 
5 	 10 
6 	 10 
7 	 10 
8 	 9 
9 	 0 
10 	 10 
11 	 10 
12 	 0 
13 	 10 
14 	 10 
15 	 9 
16 	 0 
17 	 10 
18 	 10 
19 	 10 
20 	 10 
21 	 9 
22 	 10 
23 	 10 
24 	 10 
25 	 10 
26 	 10 
27 	 0 
28 	 9 
29 	 10 
30 	 10 
31 	 10 
32 	 10 
33 	 10 
34 	 10 
