,REL,SEC,SOUR,SOURSTAT,STAT,READ
0,0.0,1656236192.0,-59.99875,136,8,-1.188442e-08
1,0.06922936,1656236192.0,-59.99873,136,8,-1.180086e-08
2,0.138447,1656236192.0,-59.99884,136,8,-1.24584e-08
3,0.2076609,1656236192.0,-59.99873,136,8,-1.160532e-08
4,0.2768789,1656236192.0,-59.99873,136,8,-1.203021e-08
5,0.3461124,1656236192.0,-59.99871,136,8,-1.186902e-08
6,0.4153465,1656236192.0,-59.99883,136,8,-1.233483e-08
7,0.4845717,1656236192.0,-59.99884,136,8,-1.238232e-08
8,0.5537885,1656236193.0,-59.99874,136,8,-1.179104e-08
9,0.6230091,1656236193.0,-59.99878,136,8,-1.20121e-08
10,0.6922268,1656236193.0,-59.9987,136,8,-1.1691e-08
11,0.7614446,1656236193.0,-59.99872,136,8,-1.178751e-08
12,0.8306722,1656236193.0,-59.99879,136,8,-1.178849e-08
13,0.899895,1656236193.0,-59.99879,136,8,-1.224497e-08
14,0.969108,1656236193.0,-59.99886,136,8,-1.233872e-08
15,1.038338,1656236193.0,-59.99876,136,8,-1.185104e-08
16,1.107559,1656236193.0,-59.99882,136,8,-1.211961e-08
17,1.176772,1656236193.0,-59.99878,136,8,-1.172647e-08
18,1.245998,1656236193.0,-59.9988,136,8,-1.208187e-08
19,1.315227,1656236193.0,-59.99874,136,8,-1.170287e-08
20,1.38446,1656236193.0,-59.99874,136,8,-1.179237e-08
21,1.453682,1656236193.0,-59.99874,136,8,-1.231781e-08
22,1.522899,1656236194.0,-59.99881,136,8,-1.238518e-08
23,1.592131,1656236194.0,-59.99876,136,8,-1.197611e-08
24,1.661359,1656236194.0,-59.99876,136,8,-1.157615e-08
25,1.730573,1656236194.0,-59.99874,136,8,-1.214585e-08
26,1.799791,1656236194.0,-59.99879,136,8,-1.19e-08
27,1.869014,1656236194.0,-59.99882,136,8,-1.204604e-08
28,1.938235,1656236194.0,-59.99881,136,8,-1.215009e-08
29,2.007464,1656236194.0,-59.99879,136,8,-1.217753e-08
30,2.076676,1656236194.0,-59.99871,136,8,-1.181739e-08
31,2.145899,1656236194.0,-59.99874,136,8,-1.185946e-08
32,2.215127,1656236194.0,-59.99874,136,8,-1.182775e-08
33,2.28436,1656236194.0,-59.99871,136,8,-1.21171e-08
34,2.353588,1656236194.0,-59.99872,136,8,-1.18028e-08
35,2.422805,1656236194.0,-59.99879,136,8,-1.211048e-08
36,2.492043,1656236194.0,-59.99879,136,8,-1.209367e-08
37,2.561263,1656236195.0,-59.9987,136,8,-1.149865e-08
38,2.63049,1656236195.0,-59.99884,136,8,-1.25769e-08
