,REL,SEC,SOUR,SOURSTAT,STAT,READ
83,5.745672,1656231343.0,-59.99887,136,8,-4.655496e-09
84,5.814884,1656231344.0,-59.99874,136,8,-4.211315e-09
85,5.884112,1656231344.0,-59.99884,136,8,-4.435686e-09
86,5.953341,1656231344.0,-59.99878,136,8,-3.960698e-09
87,6.022565,1656231344.0,-59.99875,136,8,-4.429365e-09
88,6.091797,1656231344.0,-59.99871,136,8,-4.110963e-09
89,6.161013,1656231344.0,-59.99876,136,8,-4.822374e-09
90,6.230243,1656231344.0,-59.99882,136,8,-4.661161e-09
91,6.299467,1656231344.0,-59.99878,136,8,-4.408563e-09
92,6.36868,1656231344.0,-59.99874,136,8,-4.068313e-09
93,6.437902,1656231344.0,-59.99885,136,8,-4.633542e-09
94,6.507121,1656231344.0,-59.99872,136,8,-3.952938e-09
95,6.576349,1656231344.0,-59.99882,136,8,-4.417926e-09
96,6.64558,1656231344.0,-59.99872,136,8,-4.360385e-09
97,6.7148,1656231344.0,-59.99872,136,8,-4.442406e-09
98,6.784032,1656231345.0,-59.99871,136,8,-4.507643e-09
99,6.853262,1656231345.0,-59.99874,136,8,-4.580612e-09
100,6.922489,1656231345.0,-59.99873,136,8,-4.328482e-09
101,6.991705,1656231345.0,-59.99878,136,8,-4.595572e-09
102,7.060929,1656231345.0,-59.99874,136,8,-4.901642e-09
103,7.130141,1656231345.0,-59.99878,136,8,-4.982966e-09
104,7.199374,1656231345.0,-59.99876,136,8,-4.511125e-09
105,7.268599,1656231345.0,-59.99873,136,8,-4.04169e-09
106,7.337824,1656231345.0,-59.9988,136,8,-5.030451e-09
107,7.407048,1656231345.0,-59.9988,136,8,-4.297966e-09
108,7.47626,1656231345.0,-59.99878,136,8,-4.395262e-09
109,7.545491,1656231345.0,-59.99866,136,8,-4.603899e-09
110,7.614711,1656231345.0,-59.99871,136,8,-4.635211e-09
111,7.683937,1656231345.0,-59.99874,136,8,-4.453398e-09
112,7.753152,1656231345.0,-59.99875,136,8,-4.636558e-09
113,7.822372,1656231346.0,-59.99875,136,8,-4.681704e-09
114,7.891603,1656231346.0,-59.9988,136,8,-4.898062e-09
115,7.96083,1656231346.0,-59.99868,136,8,-4.534053e-09
116,8.030044,1656231346.0,-59.99868,136,8,-4.493565e-09
117,8.099259,1656231346.0,-59.99871,136,8,-4.36679e-09
118,8.168483,1656231346.0,-59.99875,136,8,-4.112102e-09
119,8.237706,1656231346.0,-59.99876,136,8,-4.513939e-09
120,8.30694,1656231346.0,-59.99873,136,8,-4.691605e-09
121,8.376174,1656231346.0,-59.99874,136,8,-4.772111e-09
122,8.445407,1656231346.0,-59.99878,136,8,-4.820302e-09
123,8.514648,1656231346.0,-59.99868,136,8,-4.196854e-09
124,8.583872,1656231346.0,-59.99866,136,8,-4.330076e-09
125,8.653101,1656231346.0,-59.99879,136,8,-5.08423e-09
126,8.722328,1656231346.0,-59.99872,136,8,-4.551772e-09
127,8.791557,1656231347.0,-59.99873,136,8,-4.388794e-09
128,8.860775,1656231347.0,-59.99871,136,8,-4.754769e-09
129,8.930002,1656231347.0,-59.99875,136,8,-3.842698e-09
130,8.999216,1656231347.0,-59.99872,136,8,-4.429364e-09
131,9.068444,1656231347.0,-59.99872,136,8,-4.119769e-09
132,9.13768,1656231347.0,-59.99874,136,8,-4.586077e-09
133,9.206908,1656231347.0,-59.99876,136,8,-4.392827e-09
134,9.27614,1656231347.0,-59.99872,136,8,-4.44853e-09
135,9.345376,1656231347.0,-59.9987,136,8,-4.202315e-09
136,9.414611,1656231347.0,-59.99878,136,8,-4.850131e-09
137,9.483838,1656231347.0,-59.99873,136,8,-4.349946e-09
138,9.553068,1656231347.0,-59.99872,136,8,-4.65934e-09
139,9.622298,1656231347.0,-59.99868,136,8,-4.093169e-09
140,9.691533,1656231347.0,-59.99874,136,8,-4.650093e-09
141,9.760765,1656231347.0,-59.99869,136,8,-4.491572e-09
142,9.829983,1656231348.0,-59.99871,136,8,-4.256349e-09
143,9.899207,1656231348.0,-59.99888,136,8,-4.608638e-09
144,9.96843,1656231348.0,-59.99884,136,8,-4.45858e-09
145,10.03767,1656231348.0,-59.99871,136,8,-4.386016e-09
146,10.1069,1656231348.0,-59.99883,136,8,-4.602099e-09
147,10.17612,1656231348.0,-59.99878,136,8,-4.310054e-09
148,10.24535,1656231348.0,-59.99874,136,8,-4.250424e-09
149,10.31458,1656231348.0,-59.99866,136,8,-4.363438e-09
150,10.38381,1656231348.0,-59.99876,136,8,-4.443352e-09
151,10.45304,1656231348.0,-59.9988,136,8,-4.769886e-09
152,10.52227,1656231348.0,-59.99872,136,8,-4.046604e-09
153,10.59149,1656231348.0,-59.99867,136,8,-4.147895e-09
154,10.66072,1656231348.0,-59.99871,136,8,-5.018352e-09
155,10.72995,1656231348.0,-59.99871,136,8,-4.187406e-09
156,10.79916,1656231349.0,-59.99872,136,8,-4.629382e-09
157,10.86838,1656231349.0,-59.9987,136,8,-4.667151e-09
158,10.93761,1656231349.0,-59.99876,136,8,-5.29425e-09
159,11.00683,1656231349.0,-59.99863,136,8,-3.685387e-09
160,11.07605,1656231349.0,-59.99873,136,8,-4.728186e-09
161,11.14527,1656231349.0,-59.9987,136,8,-4.411571e-09
162,11.21449,1656231349.0,-59.99883,136,8,-4.817971e-09
163,11.28372,1656231349.0,-59.99879,136,8,-4.587347e-09
164,11.35294,1656231349.0,-59.99871,136,8,-4.122763e-09
165,11.42217,1656231349.0,-59.99876,136,8,-4.650427e-09
166,11.49139,1656231349.0,-59.99873,136,8,-4.857994e-09
167,11.56062,1656231349.0,-59.99872,136,8,-4.186974e-09
168,11.62984,1656231349.0,-59.99876,136,8,-4.858117e-09
169,11.69905,1656231349.0,-59.99874,136,8,-4.27764e-09
170,11.76827,1656231349.0,-59.99886,136,8,-4.680023e-09
171,11.8375,1656231350.0,-59.99875,136,8,-4.296126e-09
172,11.90672,1656231350.0,-59.9988,136,8,-5.076738e-09
173,11.97595,1656231350.0,-59.9987,136,8,-4.104788e-09
174,12.04518,1656231350.0,-59.99882,136,8,-5.300794e-09
175,12.11441,1656231350.0,-59.99876,136,8,-4.314586e-09
176,12.18365,1656231350.0,-59.99864,136,8,-4.176882e-09
177,12.25287,1656231350.0,-59.99878,136,8,-4.898358e-09
178,12.32209,1656231350.0,-59.99881,136,8,-4.599043e-09
179,12.39131,1656231350.0,-59.99872,136,8,-4.192604e-09
180,12.46054,1656231350.0,-59.99878,136,8,-4.780113e-09
181,12.52977,1656231350.0,-59.99871,136,8,-4.164686e-09
182,12.59899,1656231350.0,-59.99883,136,8,-4.746068e-09
183,12.66822,1656231350.0,-59.99872,136,8,-4.266265e-09
184,12.73745,1656231350.0,-59.99881,136,8,-4.916265e-09
185,12.80668,1656231351.0,-59.99879,136,8,-4.668147e-09
186,12.8759,1656231351.0,-59.99879,136,8,-4.170728e-09
187,12.94514,1656231351.0,-59.99883,136,8,-4.859624e-09
188,13.01436,1656231351.0,-59.99886,136,8,-4.491868e-09
189,13.08359,1656231351.0,-59.99883,136,8,-4.821775e-09
190,13.15281,1656231351.0,-59.99874,136,8,-4.313954e-09
191,13.22204,1656231351.0,-59.99878,136,8,-4.498367e-09
192,13.29126,1656231351.0,-59.99879,136,8,-4.649924e-09
193,13.36049,1656231351.0,-59.99876,136,8,-4.437793e-09
194,13.42971,1656231351.0,-59.99886,136,8,-5.047376e-09
195,13.49893,1656231351.0,-59.99875,136,8,-4.184534e-09
196,13.56815,1656231351.0,-59.99879,136,8,-4.174707e-09
197,13.63738,1656231351.0,-59.99876,136,8,-4.579558e-09
198,13.70661,1656231351.0,-59.99879,136,8,-4.776691e-09
199,13.77583,1656231351.0,-59.99879,136,8,-4.853083e-09
200,13.84505,1656231352.0,-59.99883,136,8,-4.542354e-09
201,13.91426,1656231352.0,-59.99879,136,8,-4.390134e-09
202,13.98348,1656231352.0,-59.99886,136,8,-4.799642e-09
203,14.05272,1656231352.0,-59.99877,136,8,-4.268458e-09
204,14.12194,1656231352.0,-59.99888,136,8,-4.75972e-09
205,14.19116,1656231352.0,-59.99884,136,8,-4.456591e-09
206,14.26037,1656231352.0,-59.99886,136,8,-4.454581e-09
207,14.32959,1656231352.0,-59.99884,136,8,-4.540384e-09
208,14.39881,1656231352.0,-59.99884,136,8,-4.751266e-09
209,14.46803,1656231352.0,-59.99879,136,8,-4.438351e-09
210,14.53725,1656231352.0,-59.9988,136,8,-4.576245e-09
211,14.60647,1656231352.0,-59.99883,136,8,-4.504713e-09
212,14.67569,1656231352.0,-59.99885,136,8,-4.838745e-09
213,14.74491,1656231352.0,-59.99881,136,8,-4.576167e-09
214,14.81413,1656231353.0,-59.99885,136,8,-4.653338e-09
215,14.88335,1656231353.0,-59.99878,136,8,-4.315009e-09
216,14.95256,1656231353.0,-59.99873,136,8,-4.322594e-09
217,15.02179,1656231353.0,-59.99877,136,8,-4.390777e-09
218,15.09101,1656231353.0,-59.99878,136,8,-4.637504e-09
219,15.16023,1656231353.0,-59.99882,136,8,-4.422516e-09
220,15.22945,1656231353.0,-59.99888,136,8,-4.829862e-09
