,REL,SEC,SOUR,SOURSTAT,STAT,READ
0,0.0,1656233455.0,-59.99889,136,8,-4.559219e-09
1,0.06921758,1656233455.0,-59.99892,136,8,-4.407825e-09
2,0.1384539,1656233455.0,-59.99891,136,8,-4.466665e-09
3,0.2076735,1656233456.0,-59.99899,136,8,-4.711843e-09
4,0.2768946,1656233456.0,-59.99891,136,8,-4.33496e-09
5,0.3461191,1656233456.0,-59.99889,136,8,-4.496216e-09
6,0.4153415,1656233456.0,-59.99897,136,8,-4.383255e-09
7,0.4845661,1656233456.0,-59.99895,136,8,-4.332854e-09
8,0.5537952,1656233456.0,-59.999,136,8,-4.466015e-09
9,0.6230277,1656233456.0,-59.99896,136,8,-4.389604e-09
10,0.6922522,1656233456.0,-59.99889,136,8,-4.39008e-09
11,0.7614918,1656233456.0,-59.99886,136,8,-4.007315e-09
12,0.8307205,1656233456.0,-59.99894,136,8,-4.662548e-09
13,0.8999499,1656233456.0,-59.99876,136,8,-4.210734e-09
14,0.9691661,1656233456.0,-59.99887,136,8,-4.345356e-09
15,1.038391,1656233456.0,-59.99887,136,8,-4.903566e-09
16,1.107607,1656233456.0,-59.99889,136,8,-4.263359e-09
17,1.176826,1656233457.0,-59.99889,136,8,-4.426044e-09
18,1.246046,1656233457.0,-59.99884,136,8,-4.202774e-09
19,1.315267,1656233457.0,-59.99891,136,8,-4.658406e-09
20,1.384499,1656233457.0,-59.99889,136,8,-4.672877e-09
21,1.453731,1656233457.0,-59.99883,136,8,-4.550369e-09
22,1.522963,1656233457.0,-59.99893,136,8,-4.996797e-09
23,1.592186,1656233457.0,-59.99888,136,8,-4.646064e-09
24,1.661414,1656233457.0,-59.99887,136,8,-4.668111e-09
25,1.730635,1656233457.0,-59.99883,136,8,-4.149294e-09
26,1.799859,1656233457.0,-59.99886,136,8,-4.438862e-09
27,1.869082,1656233457.0,-59.99892,136,8,-5.022985e-09
28,1.938317,1656233457.0,-59.99886,136,8,-4.387955e-09
