,REL,SEC,SOUR,SOURSTAT,STAT,READ
83,5.745934,1656243091.0,-59.9985,136,8,-3.131279e-08
84,5.815156,1656243091.0,-59.99849,136,8,-3.17082e-08
85,5.884382,1656243091.0,-59.9985,136,8,-3.1537e-08
86,5.95361,1656243091.0,-59.99852,136,8,-3.199953e-08
87,6.022825,1656243091.0,-59.99843,136,8,-3.069415e-08
88,6.092046,1656243091.0,-59.99862,136,8,-3.154566e-08
89,6.161264,1656243091.0,-59.99853,136,8,-3.169885e-08
90,6.230501,1656243091.0,-59.99864,136,8,-3.159811e-08
91,6.299735,1656243091.0,-59.99847,136,8,-3.122049e-08
92,6.368961,1656243091.0,-59.99857,136,8,-3.174053e-08
93,6.438191,1656243092.0,-59.99854,136,8,-3.155898e-08
94,6.507433,1656243092.0,-59.99849,136,8,-3.136461e-08
95,6.576654,1656243092.0,-59.99856,136,8,-3.188826e-08
96,6.645874,1656243092.0,-59.99848,136,8,-3.131192e-08
97,6.715105,1656243092.0,-59.9985,136,8,-3.16162e-08
98,6.784337,1656243092.0,-59.9985,136,8,-3.162169e-08
99,6.853572,1656243092.0,-59.99857,136,8,-3.140412e-08
100,6.922805,1656243092.0,-59.99844,136,8,-3.119861e-08
101,6.99204,1656243092.0,-59.99847,136,8,-3.113812e-08
102,7.061275,1656243092.0,-59.99841,136,8,-3.142727e-08
103,7.130508,1656243092.0,-59.99861,136,8,-3.199556e-08
104,7.199742,1656243092.0,-59.99848,136,8,-3.200004e-08
105,7.268964,1656243092.0,-59.9985,136,8,-3.127995e-08
106,7.338182,1656243092.0,-59.99853,136,8,-3.187549e-08
107,7.407411,1656243092.0,-59.99846,136,8,-3.129653e-08
108,7.476634,1656243093.0,-59.99853,136,8,-3.154407e-08
109,7.545869,1656243093.0,-59.99851,136,8,-3.15592e-08
110,7.615111,1656243093.0,-59.99838,136,8,-3.119193e-08
111,7.684346,1656243093.0,-59.99842,136,8,-3.177527e-08
112,7.753574,1656243093.0,-59.99854,136,8,-3.190484e-08
113,7.822808,1656243093.0,-59.99847,136,8,-3.127207e-08
114,7.892031,1656243093.0,-59.99851,136,8,-3.170099e-08
115,7.961268,1656243093.0,-59.99844,136,8,-3.120795e-08
116,8.030512,1656243093.0,-59.99844,136,8,-3.094924e-08
117,8.099738,1656243093.0,-59.99847,136,8,-3.151586e-08
118,8.16896,1656243093.0,-59.99846,136,8,-3.135123e-08
119,8.238179,1656243093.0,-59.99841,136,8,-3.097276e-08
120,8.307411,1656243093.0,-59.9985,136,8,-3.138948e-08
121,8.376639,1656243093.0,-59.99848,136,8,-3.182273e-08
122,8.445864,1656243094.0,-59.99848,136,8,-3.163702e-08
123,8.515085,1656243094.0,-59.99837,136,8,-3.114252e-08
124,8.584316,1656243094.0,-59.99839,136,8,-3.093636e-08
125,8.653559,1656243094.0,-59.99846,136,8,-3.184483e-08
126,8.722788,1656243094.0,-59.99852,136,8,-3.158029e-08
127,8.792013,1656243094.0,-59.99849,136,8,-3.128383e-08
128,8.861234,1656243094.0,-59.99849,136,8,-3.162063e-08
129,8.930469,1656243094.0,-59.99845,136,8,-3.115889e-08
130,8.999702,1656243094.0,-59.99852,136,8,-3.159836e-08
131,9.068924,1656243094.0,-59.99862,136,8,-3.144235e-08
132,9.138154,1656243094.0,-59.99857,136,8,-3.146619e-08
133,9.207385,1656243094.0,-59.99849,136,8,-3.12628e-08
134,9.276609,1656243094.0,-59.9985,136,8,-3.170297e-08
135,9.345844,1656243094.0,-59.99839,136,8,-3.106334e-08
136,9.415062,1656243094.0,-59.99853,136,8,-3.19986e-08
137,9.48429,1656243095.0,-59.99853,136,8,-3.145697e-08
138,9.553516,1656243095.0,-59.99846,136,8,-3.089957e-08
139,9.622738,1656243095.0,-59.99849,136,8,-3.151193e-08
140,9.691963,1656243095.0,-59.99854,136,8,-3.177259e-08
141,9.761194,1656243095.0,-59.99855,136,8,-3.15645e-08
142,9.83042,1656243095.0,-59.99847,136,8,-3.136588e-08
143,9.899645,1656243095.0,-59.99847,136,8,-3.131921e-08
144,9.968878,1656243095.0,-59.99854,136,8,-3.183768e-08
145,10.03812,1656243095.0,-59.99849,136,8,-3.152918e-08
146,10.10733,1656243095.0,-59.99839,136,8,-3.149385e-08
147,10.17657,1656243095.0,-59.99845,136,8,-3.15448e-08
148,10.2458,1656243095.0,-59.99842,136,8,-3.119478e-08
149,10.31503,1656243095.0,-59.99844,136,8,-3.143235e-08
150,10.38425,1656243095.0,-59.99843,136,8,-3.169165e-08
151,10.45347,1656243096.0,-59.99844,136,8,-3.162401e-08
152,10.5227,1656243096.0,-59.99853,136,8,-3.177097e-08
153,10.59192,1656243096.0,-59.99842,136,8,-3.12387e-08
154,10.66115,1656243096.0,-59.99844,136,8,-3.133376e-08
155,10.73037,1656243096.0,-59.99849,136,8,-3.183981e-08
156,10.79961,1656243096.0,-59.99846,136,8,-3.136111e-08
157,10.86883,1656243096.0,-59.99844,136,8,-3.151178e-08
158,10.93805,1656243096.0,-59.99842,136,8,-3.168111e-08
159,11.00727,1656243096.0,-59.99845,136,8,-3.159576e-08
160,11.07652,1656243096.0,-59.99847,136,8,-3.159175e-08
161,11.14575,1656243096.0,-59.9985,136,8,-3.115412e-08
162,11.21497,1656243096.0,-59.99848,136,8,-3.181015e-08
163,11.28419,1656243096.0,-59.99854,136,8,-3.163835e-08
164,11.35342,1656243096.0,-59.99849,136,8,-3.161408e-08
165,11.42265,1656243097.0,-59.99855,136,8,-3.219254e-08
166,11.49188,1656243097.0,-59.99851,136,8,-3.124168e-08
167,11.56111,1656243097.0,-59.99844,136,8,-3.160323e-08
168,11.63033,1656243097.0,-59.99849,136,8,-3.153526e-08
169,11.69956,1656243097.0,-59.99847,136,8,-3.13458e-08
170,11.76879,1656243097.0,-59.9985,136,8,-3.199744e-08
171,11.83803,1656243097.0,-59.99847,136,8,-3.145018e-08
172,11.90726,1656243097.0,-59.99843,136,8,-3.140412e-08
173,11.97649,1656243097.0,-59.99843,136,8,-3.14031e-08
174,12.04572,1656243097.0,-59.99847,136,8,-3.13718e-08
175,12.11494,1656243097.0,-59.99851,136,8,-3.212032e-08
176,12.18417,1656243097.0,-59.99839,136,8,-3.119817e-08
177,12.2534,1656243097.0,-59.9985,136,8,-3.196062e-08
178,12.32263,1656243097.0,-59.99844,136,8,-3.140711e-08
179,12.39186,1656243097.0,-59.99846,136,8,-3.147544e-08
180,12.46109,1656243098.0,-59.99844,136,8,-3.109673e-08
181,12.53031,1656243098.0,-59.99847,136,8,-3.143658e-08
182,12.59954,1656243098.0,-59.99834,136,8,-3.118923e-08
183,12.66877,1656243098.0,-59.99845,136,8,-3.192457e-08
184,12.73799,1656243098.0,-59.99846,136,8,-3.139727e-08
185,12.8072,1656243098.0,-59.99846,136,8,-3.15385e-08
186,12.87643,1656243098.0,-59.99847,136,8,-3.160303e-08
187,12.94566,1656243098.0,-59.99842,136,8,-3.166075e-08
188,13.01489,1656243098.0,-59.99853,136,8,-3.15108e-08
189,13.08411,1656243098.0,-59.99842,136,8,-3.126045e-08
190,13.15333,1656243098.0,-59.99843,136,8,-3.140465e-08
191,13.22257,1656243098.0,-59.99851,136,8,-3.21443e-08
192,13.2918,1656243098.0,-59.99847,136,8,-3.106272e-08
193,13.36103,1656243098.0,-59.99849,136,8,-3.164667e-08
194,13.43026,1656243099.0,-59.99846,136,8,-3.131953e-08
195,13.49948,1656243099.0,-59.9985,136,8,-3.130502e-08
196,13.5687,1656243099.0,-59.9985,136,8,-3.182045e-08
197,13.63793,1656243099.0,-59.99844,136,8,-3.109798e-08
198,13.70715,1656243099.0,-59.9985,136,8,-3.162479e-08
199,13.77637,1656243099.0,-59.99846,136,8,-3.11279e-08
200,13.84561,1656243099.0,-59.99847,136,8,-3.169108e-08
201,13.91484,1656243099.0,-59.99849,136,8,-3.148775e-08
202,13.98407,1656243099.0,-59.99847,136,8,-3.167318e-08
203,14.05329,1656243099.0,-59.99854,136,8,-3.161844e-08
204,14.12253,1656243099.0,-59.99853,136,8,-3.160555e-08
205,14.19177,1656243099.0,-59.99859,136,8,-3.191079e-08
206,14.261,1656243099.0,-59.99845,136,8,-3.084575e-08
207,14.33023,1656243099.0,-59.99854,136,8,-3.214755e-08
208,14.39946,1656243099.0,-59.99845,136,8,-3.113204e-08
209,14.46868,1656243100.0,-59.99851,136,8,-3.18506e-08
210,14.5379,1656243100.0,-59.99854,136,8,-3.154073e-08
211,14.60712,1656243100.0,-59.9985,136,8,-3.138364e-08
212,14.67636,1656243100.0,-59.99855,136,8,-3.165378e-08
213,14.7456,1656243100.0,-59.99855,136,8,-3.137724e-08
214,14.81483,1656243100.0,-59.99844,136,8,-3.137009e-08
215,14.88406,1656243100.0,-59.99855,136,8,-3.176187e-08
216,14.95328,1656243100.0,-59.9985,136,8,-3.152265e-08
217,15.02252,1656243100.0,-59.99852,136,8,-3.143994e-08
218,15.09174,1656243100.0,-59.99847,136,8,-3.127861e-08
219,15.16098,1656243100.0,-59.99853,136,8,-3.111469e-08
220,15.23021,1656243100.0,-59.99856,136,8,-3.18393e-08
221,15.29943,1656243100.0,-59.99854,136,8,-3.16156e-08
222,15.36867,1656243100.0,-59.9985,136,8,-3.153988e-08
223,15.4379,1656243101.0,-59.99846,136,8,-3.133427e-08
224,15.50713,1656243101.0,-59.99851,136,8,-3.176791e-08
225,15.57637,1656243101.0,-59.9986,136,8,-3.211453e-08
226,15.6456,1656243101.0,-59.99851,136,8,-3.115295e-08
227,15.71483,1656243101.0,-59.99847,136,8,-3.147711e-08
228,15.78407,1656243101.0,-59.99849,136,8,-3.133402e-08
229,15.8533,1656243101.0,-59.99859,136,8,-3.181738e-08
230,15.92254,1656243101.0,-59.99859,136,8,-3.17822e-08
231,15.99178,1656243101.0,-59.99847,136,8,-3.10988e-08
232,16.06101,1656243101.0,-59.99858,136,8,-3.171459e-08
233,16.13024,1656243101.0,-59.9985,136,8,-3.13964e-08
