,REL,SEC,SOUR,SOURSTAT,STAT,READ
0,0.0,1656255687.0,-59.99849,136,8,-4.048884e-08
1,0.06920212,1656255687.0,-59.99841,136,8,-4.062373e-08
2,0.1383975,1656255687.0,-59.99841,136,8,-4.064116e-08
3,0.20759,1656255687.0,-59.99843,136,8,-4.071222e-08
4,0.2767955,1656255688.0,-59.99837,136,8,-4.055208e-08
5,0.3459925,1656255688.0,-59.99839,136,8,-4.081784e-08
6,0.4151857,1656255688.0,-59.99837,136,8,-4.038901e-08
7,0.4843951,1656255688.0,-59.99842,136,8,-4.074027e-08
8,0.5535913,1656255688.0,-59.99846,136,8,-4.099791e-08
9,0.622793,1656255688.0,-59.99845,136,8,-4.089953e-08
10,0.6919916,1656255688.0,-59.99854,136,8,-4.078052e-08
11,0.7611789,1656255688.0,-59.99844,136,8,-4.045144e-08
12,0.8303926,1656255688.0,-59.99853,136,8,-4.101318e-08
13,0.8995842,1656255688.0,-59.99847,136,8,-4.076738e-08
14,0.9687938,1656255688.0,-59.99849,136,8,-4.072912e-08
15,1.037986,1656255688.0,-59.99849,136,8,-4.088731e-08
16,1.107194,1656255688.0,-59.99842,136,8,-4.042203e-08
17,1.176396,1656255688.0,-59.99836,136,8,-4.046128e-08
18,1.245601,1656255689.0,-59.99843,136,8,-4.082207e-08
19,1.314802,1656255689.0,-59.99833,136,8,-4.032499e-08
20,1.383991,1656255689.0,-59.99846,136,8,-4.091899e-08
21,1.453184,1656255689.0,-59.99839,136,8,-4.068722e-08
22,1.522386,1656255689.0,-59.9985,136,8,-4.124113e-08
23,1.591595,1656255689.0,-59.99843,136,8,-4.034072e-08
24,1.660799,1656255689.0,-59.99851,136,8,-4.117822e-08
25,1.730005,1656255689.0,-59.99847,136,8,-4.061531e-08
26,1.799202,1656255689.0,-59.99842,136,8,-4.04448e-08
27,1.868404,1656255689.0,-59.99843,136,8,-4.102161e-08
28,1.937609,1656255689.0,-59.99833,136,8,-3.997617e-08
29,2.00682,1656255689.0,-59.99839,136,8,-4.087019e-08
30,2.076025,1656255689.0,-59.99835,136,8,-4.065426e-08
31,2.145228,1656255689.0,-59.99844,136,8,-4.097693e-08
32,2.214417,1656255689.0,-59.99838,136,8,-4.023549e-08
33,2.283618,1656255690.0,-59.99846,136,8,-4.134469e-08
34,2.352821,1656255690.0,-59.99839,136,8,-4.107645e-08
35,2.422023,1656255690.0,-59.99838,136,8,-4.032775e-08
36,2.491231,1656255690.0,-59.99844,136,8,-4.040482e-08
37,2.560424,1656255690.0,-59.99852,136,8,-4.088184e-08
38,2.629612,1656255690.0,-59.99838,136,8,-4.010161e-08
39,2.698816,1656255690.0,-59.99845,136,8,-4.073589e-08
40,2.768009,1656255690.0,-59.99838,136,8,-4.049462e-08
41,2.837216,1656255690.0,-59.99849,136,8,-4.101142e-08
42,2.906415,1656255690.0,-59.99846,136,8,-4.060701e-08
43,2.975602,1656255690.0,-59.9984,136,8,-4.012843e-08
44,3.044814,1656255690.0,-59.99842,136,8,-4.05171e-08
45,3.114004,1656255690.0,-59.99848,136,8,-4.092628e-08
46,3.183191,1656255690.0,-59.99828,136,8,-4.010334e-08
47,3.252395,1656255691.0,-59.9985,136,8,-4.138251e-08
48,3.321602,1656255691.0,-59.99845,136,8,-4.041365e-08
49,3.3908,1656255691.0,-59.99847,136,8,-4.025706e-08
50,3.459997,1656255691.0,-59.99853,136,8,-4.116047e-08
51,3.529188,1656255691.0,-59.99849,136,8,-4.027154e-08
52,3.59838,1656255691.0,-59.99847,136,8,-4.072489e-08
53,3.667581,1656255691.0,-59.99849,136,8,-4.064527e-08
54,3.736795,1656255691.0,-59.99849,136,8,-4.101162e-08
55,3.805996,1656255691.0,-59.99842,136,8,-4.058987e-08
56,3.8752,1656255691.0,-59.99844,136,8,-4.049917e-08
57,3.944397,1656255691.0,-59.99842,136,8,-4.058939e-08
58,4.013586,1656255691.0,-59.99837,136,8,-4.061741e-08
59,4.082793,1656255691.0,-59.99838,136,8,-4.058787e-08
60,4.151988,1656255691.0,-59.99831,136,8,-4.000531e-08
61,4.221194,1656255691.0,-59.99839,136,8,-4.053847e-08
62,4.290392,1656255692.0,-59.99837,136,8,-4.100893e-08
63,4.359586,1656255692.0,-59.99832,136,8,-4.050011e-08
64,4.428791,1656255692.0,-59.99832,136,8,-4.051284e-08
65,4.497994,1656255692.0,-59.99842,136,8,-4.057549e-08
66,4.567195,1656255692.0,-59.99841,136,8,-4.03687e-08
67,4.636385,1656255692.0,-59.99841,136,8,-4.126348e-08
68,4.705574,1656255692.0,-59.9983,136,8,-4.039631e-08
69,4.774776,1656255692.0,-59.99844,136,8,-4.093534e-08
70,4.843979,1656255692.0,-59.99849,136,8,-4.133775e-08
71,4.913184,1656255692.0,-59.99835,136,8,-4.017449e-08
72,4.982372,1656255692.0,-59.99837,136,8,-4.072451e-08
73,5.051573,1656255692.0,-59.99843,136,8,-4.110195e-08
74,5.120785,1656255692.0,-59.99842,136,8,-4.072565e-08
75,5.189981,1656255692.0,-59.99842,136,8,-4.065371e-08
76,5.259168,1656255693.0,-59.99843,136,8,-4.080992e-08
77,5.32836,1656255693.0,-59.99838,136,8,-4.040884e-08
78,5.39755,1656255693.0,-59.99836,136,8,-4.074406e-08
79,5.466761,1656255693.0,-59.99833,136,8,-4.04366e-08
80,5.535961,1656255693.0,-59.99838,136,8,-4.066651e-08
81,5.60516,1656255693.0,-59.9984,136,8,-4.087702e-08
82,5.674366,1656255693.0,-59.99848,136,8,-4.087945e-08
83,5.743574,1656255693.0,-59.99832,136,8,-4.062264e-08
84,5.81277,1656255693.0,-59.99838,136,8,-4.058714e-08
85,5.881977,1656255693.0,-59.99838,136,8,-4.095975e-08
86,5.951171,1656255693.0,-59.99834,136,8,-4.038419e-08
87,6.02037,1656255693.0,-59.99835,136,8,-4.037034e-08
88,6.089569,1656255693.0,-59.99838,136,8,-4.080397e-08
89,6.158774,1656255693.0,-59.99841,136,8,-4.09607e-08
90,6.227969,1656255693.0,-59.99839,136,8,-4.03803e-08
91,6.29716,1656255694.0,-59.99835,136,8,-4.062294e-08
92,6.366357,1656255694.0,-59.99834,136,8,-4.061978e-08
93,6.435552,1656255694.0,-59.99837,136,8,-4.05109e-08
