,REL,SEC,SOUR,SOURSTAT,STAT,READ
0,0.0,1656254805.0,-59.99821,136,8,-3.903056e-08
1,0.06921038,1656254805.0,-59.99826,136,8,-3.939999e-08
2,0.1384011,1656254805.0,-59.99833,136,8,-3.987034e-08
3,0.2075996,1656254805.0,-59.99825,136,8,-3.910379e-08
4,0.2768008,1656254805.0,-59.9983,136,8,-3.942701e-08
5,0.3459891,1656254805.0,-59.99825,136,8,-3.893527e-08
6,0.4151936,1656254805.0,-59.99832,136,8,-3.948914e-08
7,0.4843914,1656254805.0,-59.99828,136,8,-3.947319e-08
8,0.5535884,1656254806.0,-59.99822,136,8,-3.912857e-08
9,0.622777,1656254806.0,-59.99827,136,8,-3.934034e-08
10,0.6919696,1656254806.0,-59.99831,136,8,-3.966178e-08
11,0.7611776,1656254806.0,-59.99825,136,8,-3.867556e-08
12,0.830367,1656254806.0,-59.99825,136,8,-3.899602e-08
13,0.8995673,1656254806.0,-59.99832,136,8,-3.973915e-08
14,0.96876,1656254806.0,-59.99831,136,8,-3.936036e-08
15,1.037951,1656254806.0,-59.99829,136,8,-3.909608e-08
16,1.107139,1656254806.0,-59.99831,136,8,-3.919167e-08
17,1.176344,1656254806.0,-59.99831,136,8,-3.930909e-08
18,1.245536,1656254806.0,-59.99833,136,8,-3.906927e-08
19,1.314739,1656254806.0,-59.9983,136,8,-3.95127e-08
20,1.383943,1656254806.0,-59.99829,136,8,-3.894701e-08
21,1.453146,1656254806.0,-59.99841,136,8,-3.924431e-08
22,1.522329,1656254806.0,-59.99833,136,8,-3.898658e-08
23,1.591526,1656254807.0,-59.99837,136,8,-3.969794e-08
24,1.660721,1656254807.0,-59.99839,136,8,-3.923189e-08
25,1.72992,1656254807.0,-59.99823,136,8,-3.901661e-08
26,1.799116,1656254807.0,-59.99833,136,8,-3.926059e-08
27,1.868298,1656254807.0,-59.99834,136,8,-3.985554e-08
28,1.937493,1656254807.0,-59.99826,136,8,-3.903027e-08
29,2.006686,1656254807.0,-59.99839,136,8,-3.97457e-08
30,2.075881,1656254807.0,-59.99827,136,8,-3.895008e-08
31,2.145075,1656254807.0,-59.99826,136,8,-3.938283e-08
32,2.214278,1656254807.0,-59.99828,136,8,-3.929513e-08
33,2.283483,1656254807.0,-59.99836,136,8,-3.966641e-08
34,2.352676,1656254807.0,-59.99833,136,8,-3.935321e-08
35,2.421859,1656254807.0,-59.99829,136,8,-3.88045e-08
