Row 	 Counts 
0 	 0 
1 	 10 
2 	 0 
3 	 10 
4 	 0 
5 	 9 
6 	 0 
7 	 10 
8 	 0 
9 	 5 
10 	 10 
11 	 10 
12 	 10 
13 	 10 
14 	 10 
15 	 9 
16 	 10 
17 	 10 
18 	 10 
19 	 10 
20 	 0 
21 	 0 
22 	 10 
23 	 10 
24 	 10 
25 	 10 
26 	 0 
27 	 9 
28 	 10 
29 	 4 
30 	 0 
31 	 10 
32 	 10 
33 	 10 
34 	 0 
