Row 	 Counts 
0 	 0 
1 	 8 
2 	 8 
3 	 10 
4 	 0 
5 	 10 
6 	 10 
7 	 10 
8 	 10 
9 	 8 
10 	 10 
11 	 10 
12 	 6 
13 	 10 
14 	 10 
15 	 0 
16 	 10 
17 	 10 
18 	 10 
19 	 10 
20 	 0 
21 	 10 
22 	 10 
23 	 10 
24 	 10 
25 	 0 
26 	 9 
27 	 0 
28 	 10 
29 	 10 
30 	 10 
31 	 10 
32 	 4 
33 	 10 
34 	 10 
