Row 	 Counts 
0 	 8 
1 	 0 
2 	 0 
3 	 10 
4 	 10 
5 	 10 
6 	 10 
7 	 4 
8 	 6 
9 	 10 
10 	 10 
11 	 10 
12 	 10 
13 	 10 
14 	 10 
15 	 6 
16 	 10 
17 	 10 
18 	 0 
19 	 10 
20 	 10 
21 	 10 
22 	 10 
23 	 10 
24 	 7 
25 	 6 
26 	 10 
27 	 0 
28 	 10 
29 	 10 
30 	 10 
31 	 10 
32 	 0 
33 	 0 
34 	 10 
