,Rows,Cols
0,0,7
1,1,20
2,1,21
3,1,28
4,1,34
5,2,15
6,2,18
7,2,27
8,2,31
9,2,32
10,3,4
11,3,11
12,3,12
13,4,4
14,4,7
15,4,18
16,4,20
17,4,24
18,4,25
19,4,28
20,5,0
21,5,8
22,5,14
23,5,26
24,5,31
25,6,2
26,6,4
27,6,11
28,6,15
29,6,16
30,6,32
31,7,22
32,7,26
33,8,5
34,8,11
35,8,18
36,8,26
37,9,16
38,9,25
39,9,32
40,10,3
41,10,7
42,10,26
43,11,4
44,11,10
45,11,20
46,11,26
47,12,3
48,12,14
49,12,22
50,12,31
51,12,34
52,13,14
53,13,24
54,13,29
55,14,18
56,14,19
57,14,25
58,14,27
59,14,28
60,15,2
61,15,7
62,15,15
63,15,16
64,15,30
65,15,32
66,15,34
67,16,8
68,16,10
69,16,21
70,16,23
71,16,25
72,17,14
73,18,3
74,18,6
75,18,10
76,18,22
77,19,7
78,19,23
79,19,32
80,20,12
81,20,31
82,21,9
83,21,29
84,21,34
85,22,0
86,22,7
87,22,12
88,22,23
89,22,32
90,23,3
91,23,16
92,23,24
93,23,33
94,24,3
95,24,5
96,24,13
97,24,14
98,25,3
99,25,24
100,25,26
101,25,27
102,26,6
103,26,8
104,26,17
105,26,25
106,26,32
107,27,33
108,28,1
109,28,14
110,28,19
111,28,21
112,28,23
113,29,21
114,29,30
115,29,31
116,30,2
117,30,9
118,31,5
119,31,6
120,31,10
121,31,17
122,31,29
123,31,31
124,32,9
125,32,27
126,32,28
127,33,15
128,33,16
129,33,21
130,33,30
131,33,31
132,33,33
133,34,8
134,34,16
135,34,29
136,34,30
137,0,0
138,0,1
139,0,2
140,0,3
141,0,4
142,0,5
143,0,6
144,0,8
145,0,9
146,0,10
147,0,11
148,0,12
149,0,13
150,0,14
151,0,15
152,0,16
153,0,17
154,0,18
155,0,19
156,0,20
157,0,21
158,0,22
159,0,23
160,0,24
161,0,25
162,0,26
163,0,27
164,0,28
165,0,29
166,0,30
167,0,31
168,0,32
169,0,33
170,0,34
171,1,0
172,1,3
173,1,4
174,1,5
175,1,6
176,1,7
177,1,8
178,1,9
179,1,10
180,1,11
181,1,12
182,1,13
183,1,14
184,1,15
185,1,16
186,1,17
187,1,18
188,1,19
189,1,22
190,1,23
191,1,24
192,1,25
193,1,26
194,1,27
195,1,29
196,1,30
197,1,32
198,1,33
199,2,0
200,2,1
201,2,2
202,2,3
203,2,4
204,2,5
205,2,6
206,2,7
207,2,8
208,2,9
209,2,10
210,2,11
211,2,12
212,2,13
213,2,14
214,2,16
215,2,17
216,2,19
217,2,20
218,2,22
219,2,23
220,2,24
221,2,25
222,2,26
223,2,28
224,2,29
225,2,30
226,2,33
227,2,34
228,3,0
