,Rows,Cols
0,0,7
1,1,20
2,1,21
3,1,28
4,2,18
5,2,27
6,2,31
7,2,32
8,3,4
9,3,12
10,4,4
11,4,9
12,4,18
13,4,20
14,4,28
15,5,0
16,5,8
17,5,12
18,5,26
19,6,2
20,6,4
21,6,16
22,7,22
23,7,26
24,8,0
25,8,5
26,8,11
27,8,18
28,8,26
29,9,25
30,10,26
31,11,4
32,11,10
33,11,26
34,12,3
35,12,14
36,13,14
37,13,24
38,13,29
39,14,19
40,14,25
41,14,27
42,15,2
43,15,7
44,15,15
45,15,16
46,15,30
47,16,8
48,16,21
49,16,23
50,16,25
51,18,6
52,19,23
53,20,20
54,20,31
55,21,9
56,21,29
57,22,0
58,22,7
59,22,12
60,22,32
61,23,3
62,23,24
63,24,3
64,24,5
65,24,13
66,24,14
67,25,3
68,25,26
69,25,27
70,26,6
71,26,8
72,26,17
73,26,25
74,28,1
75,28,14
76,28,16
77,28,21
78,29,30
79,29,31
80,30,8
81,30,15
82,31,6
83,31,10
84,31,17
85,31,29
86,31,31
87,32,28
88,33,15
89,33,21
90,33,33
91,34,29
92,6,12
93,6,28
94,20,2
