,Rows,Cols
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,13
13,0,15
14,0,16
15,0,17
16,0,18
17,0,20
18,0,21
19,0,22
20,0,23
21,0,24
22,0,25
23,0,27
24,0,28
25,0,29
26,0,30
27,0,31
28,0,33
29,1,0
30,1,1
31,1,2
32,1,3
33,1,4
34,1,5
35,1,6
36,1,7
37,1,8
38,1,9
39,1,10
40,1,11
41,1,12
42,1,13
43,1,14
44,1,15
45,1,16
46,1,17
47,1,18
48,1,20
49,1,21
50,1,22
51,1,23
52,1,24
53,1,25
54,1,26
55,1,27
56,1,28
57,1,29
58,1,30
59,1,31
60,1,32
61,1,33
62,1,34
63,2,0
64,2,1
65,2,3
66,2,4
67,2,5
68,2,6
69,2,7
70,2,8
71,2,9
72,2,10
73,2,11
74,2,12
75,2,13
76,2,14
77,2,15
78,2,17
79,2,18
80,2,19
81,2,20
82,2,21
83,2,22
84,2,23
85,2,24
86,2,25
87,2,26
88,2,27
89,2,28
90,2,29
91,2,30
92,2,31
93,2,32
94,2,33
95,2,34
96,3,0
97,3,1
98,3,2
99,3,3
100,3,4
101,3,5
102,3,6
103,3,7
104,3,8
105,3,9
106,3,10
107,3,11
108,3,12
109,3,13
110,3,14
111,3,15
112,3,16
113,3,17
114,3,18
115,3,19
116,3,20
117,3,21
118,3,22
119,3,23
120,3,24
121,3,25
122,3,26
123,3,27
124,3,28
125,3,29
126,3,30
127,3,31
128,3,32
129,3,33
130,3,34
131,4,0
132,4,1
133,4,2
134,4,3
135,4,4
136,4,5
137,4,6
138,4,7
139,4,8
140,4,9
141,4,10
142,4,11
143,4,12
144,4,13
145,4,14
146,4,15
147,4,16
148,4,17
149,4,18
150,4,19
151,4,20
152,4,21
153,4,22
154,4,23
155,4,25
156,4,26
157,4,28
158,4,29
159,4,30
160,4,31
161,4,32
162,4,33
163,4,34
164,5,0
165,5,1
166,5,2
167,5,3
168,5,4
169,5,5
170,5,6
171,5,7
172,5,8
173,5,9
174,5,10
175,5,11
176,5,12
177,5,13
178,5,14
179,5,15
180,5,16
181,5,17
182,5,18
183,5,19
184,5,20
185,5,21
186,5,22
187,5,23
188,5,24
189,5,25
190,5,26
191,5,27
192,5,28
193,5,29
194,5,30
195,5,31
196,5,32
197,5,33
198,5,34
199,6,0
200,6,1
201,6,2
202,6,3
203,6,4
204,6,5
205,6,6
206,6,7
207,6,8
208,6,9
209,6,10
210,6,11
211,6,12
212,6,13
213,6,14
214,6,15
215,6,16
216,6,17
217,6,18
218,6,19
219,6,20
220,6,21
221,6,22
222,6,23
223,6,24
224,6,25
225,6,26
226,6,27
227,6,28
228,6,29
229,6,30
230,6,31
231,6,32
232,6,33
233,6,34
234,7,0
235,7,1
236,7,2
237,7,3
238,7,4
239,7,5
240,7,6
241,7,7
242,7,8
243,7,9
244,7,10
245,7,11
246,7,12
247,7,13
248,7,14
249,7,15
250,7,16
251,7,17
252,7,18
253,7,19
254,7,20
255,7,21
256,7,22
257,7,23
258,7,24
259,7,25
260,7,26
261,7,27
262,7,28
263,7,29
264,7,30
265,7,31
266,7,32
267,7,33
268,8,0
269,8,1
270,8,2
271,8,3
272,8,4
273,8,5
274,8,6
275,8,7
276,8,8
277,8,9
278,8,10
279,8,11
280,8,12
281,8,13
282,8,14
283,8,15
284,8,16
285,8,17
286,8,18
287,8,19
288,8,20
289,8,21
290,8,22
291,8,23
292,8,24
293,8,25
294,8,26
295,8,27
296,8,28
297,8,29
298,8,30
299,8,31
300,8,32
301,8,33
302,8,34
303,9,0
304,9,1
305,9,2
306,9,3
307,9,4
308,9,5
