,Rows,Cols
0,1,21
1,2,18
2,2,31
3,3,12
4,4,4
5,4,18
6,7,26
7,15,16
8,16,23
9,18,10
10,21,29
11,22,12
12,28,14
13,28,21
14,30,7
15,33,15
16,33,33
