,REL,SEC,FRAC,SOUR,SOURSTAT,STAT,READ,VOLTAGE
0,0.0,1657947969.0,0.246517,-40.00116,136,8,-5.111967e-07,-40
1,0.3591745,1657947969.0,0.605691,-40.00044,136,8,-4.8562e-07,-40
2,0.4283949,1657947969.0,0.674912,-40.00044,136,8,-4.854923e-07,-40
3,0.4976184,1657947969.0,0.744135,-40.0005,136,8,-4.822558e-07,-40
4,0.5668408,1657947969.0,0.813358,-40.00058,136,8,-4.800923e-07,-40
5,0.6360601,1657947969.0,0.882577,-40.00051,136,8,-4.784166e-07,-40
6,0.7052844,1657947969.0,0.951801,-40.00056,136,8,-4.757869e-07,-40
7,0.7745067,1657947970.0,0.0210236,-40.00055,136,8,-4.7608e-07,-40
8,0.8437211,1657947970.0,0.090238,-40.00054,136,8,-4.732234e-07,-40
9,0.9129463,1657947970.0,0.159463,-40.00057,136,8,-4.713656e-07,-40
10,0.9821665,1657947970.0,0.228683,-40.00046,136,8,-4.715093e-07,-40
11,1.051394,1657947970.0,0.29791,-40.00055,136,8,-4.692405e-07,-40
12,1.120604,1657947970.0,0.367121,-40.00053,136,8,-4.686576e-07,-40
13,1.189821,1657947970.0,0.436338,-40.00064,136,8,-4.696064e-07,-40
14,1.259046,1657947970.0,0.505563,-40.00054,136,8,-4.672166e-07,-40
15,1.32827,1657947970.0,0.574787,-40.00058,136,8,-4.680018e-07,-40
16,1.397483,1657947970.0,0.644,-40.0006,136,8,-4.675598e-07,-40
17,1.466703,1657947970.0,0.71322,-40.0007,136,8,-4.657939e-07,-40
18,1.535925,1657947970.0,0.782442,-40.00055,136,8,-4.671551e-07,-40
19,1.605162,1657947970.0,0.851679,-40.00053,136,8,-4.648391e-07,-40
20,1.674369,1657947970.0,0.920886,-40.00063,136,8,-4.637191e-07,-40
21,1.743589,1657947970.0,0.990106,-40.00058,136,8,-4.634166e-07,-40
22,1.812811,1657947971.0,0.0593279,-40.00057,136,8,-4.626716e-07,-40
23,1.882033,1657947971.0,0.12855,-40.0006,136,8,-4.633585e-07,-40
24,1.951254,1657947971.0,0.19777,-40.00058,136,8,-4.630635e-07,-40
25,2.020479,1657947971.0,0.266996,-40.00056,136,8,-4.641079e-07,-40
26,2.089706,1657947971.0,0.336223,-40.00059,136,8,-4.624611e-07,-40
27,2.158931,1657947971.0,0.405448,-40.00061,136,8,-4.625743e-07,-40
28,2.228162,1657947971.0,0.474679,-40.00053,136,8,-4.616298e-07,-40
29,2.297392,1657947971.0,0.543909,-40.00057,136,8,-4.591177e-07,-40
30,2.366619,1657947971.0,0.613136,-40.0006,136,8,-4.595103e-07,-40
31,2.435839,1657947971.0,0.682356,-40.00058,136,8,-4.606663e-07,-40
32,2.505067,1657947971.0,0.751584,-40.00055,136,8,-4.597447e-07,-40
33,2.574285,1657947971.0,0.820802,-40.00061,136,8,-4.603851e-07,-40
34,2.643508,1657947971.0,0.890025,-40.0006,136,8,-4.596045e-07,-40
35,2.712724,1657947971.0,0.959241,-40.00064,136,8,-4.604254e-07,-40
36,2.781938,1657947972.0,0.0284547,-40.00061,136,8,-4.564699e-07,-40
37,2.851172,1657947972.0,0.097689,-40.00061,136,8,-4.568157e-07,-40
38,2.920383,1657947972.0,0.1669,-40.00058,136,8,-4.607126e-07,-40
39,2.989603,1657947972.0,0.236119,-40.00063,136,8,-4.58363e-07,-40
40,3.058815,1657947972.0,0.305332,-40.00068,136,8,-4.583948e-07,-40
41,3.128028,1657947972.0,0.374545,-40.00064,136,8,-4.571167e-07,-40
42,3.19725,1657947972.0,0.443767,-40.00058,136,8,-4.577154e-07,-40
43,3.266469,1657947972.0,0.512986,-40.00068,136,8,-4.575945e-07,-40
44,3.33569,1657947972.0,0.582207,-40.0006,136,8,-4.583831e-07,-40
45,3.404902,1657947972.0,0.651419,-40.00058,136,8,-4.570182e-07,-40
46,3.474136,1657947972.0,0.720653,-40.00052,136,8,-4.569914e-07,-40
47,3.543344,1657947972.0,0.789861,-40.00063,136,8,-4.562885e-07,-40
48,3.612554,1657947972.0,0.859071,-40.00063,136,8,-4.570555e-07,-40
49,3.681775,1657947972.0,0.928292,-40.00063,136,8,-4.583052e-07,-40
50,3.750985,1657947972.0,0.997502,-40.00061,136,8,-4.566638e-07,-40
51,3.820212,1657947973.0,0.0667292,-40.00064,136,8,-4.546658e-07,-40
52,3.889428,1657947973.0,0.135945,-40.00056,136,8,-4.553911e-07,-40
53,3.958655,1657947973.0,0.205172,-40.00063,136,8,-4.546128e-07,-40
54,4.027872,1657947973.0,0.274389,-40.00061,136,8,-4.567285e-07,-40
55,4.097096,1657947973.0,0.343613,-40.0006,136,8,-4.565377e-07,-40
56,4.166316,1657947973.0,0.412833,-40.00061,136,8,-4.558846e-07,-40
57,4.235534,1657947973.0,0.482051,-40.00057,136,8,-4.550785e-07,-40
58,4.304761,1657947973.0,0.551278,-40.00064,136,8,-4.546735e-07,-40
59,4.373971,1657947973.0,0.620488,-40.00055,136,8,-4.522992e-07,-40
60,4.443199,1657947973.0,0.689715,-40.00062,136,8,-4.537629e-07,-40
61,4.512411,1657947973.0,0.758928,-40.0006,136,8,-4.537767e-07,-40
62,4.581629,1657947973.0,0.828146,-40.00054,136,8,-4.549797e-07,-40
63,4.65085,1657947973.0,0.897367,-40.00055,136,8,-4.544309e-07,-40
64,4.720063,1657947973.0,0.96658,-40.00053,136,8,-4.543646e-07,-40
65,4.789286,1657947974.0,0.0358029,-40.0006,136,8,-4.550631e-07,-40
66,4.858514,1657947974.0,0.10503,-40.00064,136,8,-4.547915e-07,-40
67,4.927728,1657947974.0,0.174245,-40.00064,136,8,-4.545052e-07,-40
68,4.996947,1657947974.0,0.243464,-40.00061,136,8,-4.556503e-07,-40
69,5.066171,1657947974.0,0.312688,-40.00063,136,8,-4.537382e-07,-40
70,5.135365,1657947974.0,0.381882,-40.00059,136,8,-4.540098e-07,-40
71,5.204575,1657947974.0,0.451092,-40.00054,136,8,-4.541442e-07,-40
72,5.273782,1657947974.0,0.520299,-40.00058,136,8,-4.531598e-07,-40
73,5.342989,1657947974.0,0.589506,-40.00054,136,8,-4.530603e-07,-40
74,5.412203,1657947974.0,0.658719,-40.00053,136,8,-4.524893e-07,-40
75,5.481415,1657947974.0,0.727932,-40.00055,136,8,-4.524959e-07,-40
76,5.550634,1657947974.0,0.797151,-40.00058,136,8,-4.550397e-07,-40
77,5.619853,1657947974.0,0.86637,-40.00054,136,8,-4.540756e-07,-40
78,5.689062,1657947974.0,0.935579,-40.00055,136,8,-4.532991e-07,-40
79,5.758272,1657947975.0,0.00478872,-40.00051,136,8,-4.518648e-07,-40
80,5.827495,1657947975.0,0.0740114,-40.00068,136,8,-4.5394e-07,-40
81,5.89672,1657947975.0,0.143237,-40.00057,136,8,-4.527053e-07,-40
82,5.965934,1657947975.0,0.212451,-40.00048,136,8,-4.513192e-07,-40
83,6.03515,1657947975.0,0.281667,-40.00061,136,8,-4.515699e-07,-40
84,6.104358,1657947975.0,0.350875,-40.00052,136,8,-4.528069e-07,-40
85,6.173575,1657947975.0,0.420092,-40.00068,136,8,-4.510854e-07,-40
86,6.242783,1657947975.0,0.4893,-40.00057,136,8,-4.520995e-07,-40
87,6.311991,1657947975.0,0.558508,-40.00059,136,8,-4.510779e-07,-40
88,6.381205,1657947975.0,0.627722,-40.0006,136,8,-4.502717e-07,-40
89,6.450418,1657947975.0,0.696935,-40.00051,136,8,-4.528121e-07,-40
