,REL,SEC,FRAC,SOUR,SOURSTAT,STAT,READ,VOLTAGE
0,0.0,1657947986.0,0.118694,-59.99884,136,8,-5.223699e-07,-60
1,0.2221705,1657947986.0,0.340864,-59.99849,136,8,-4.906893e-07,-60
2,0.2913846,1657947986.0,0.410078,-59.99828,136,8,-4.866696e-07,-60
3,0.360588,1657947986.0,0.479282,-59.99829,136,8,-4.846982e-07,-60
4,0.4298032,1657947986.0,0.548497,-59.99828,136,8,-4.803659e-07,-60
5,0.4990045,1657947986.0,0.617698,-59.99828,136,8,-4.785638e-07,-60
6,0.5682084,1657947986.0,0.686902,-59.99832,136,8,-4.753616e-07,-60
7,0.6374155,1657947986.0,0.756109,-59.99826,136,8,-4.742801e-07,-60
8,0.706618,1657947986.0,0.825312,-59.99835,136,8,-4.735514e-07,-60
9,0.7758243,1657947986.0,0.894518,-59.99827,136,8,-4.740477e-07,-60
10,0.8450262,1657947986.0,0.96372,-59.99828,136,8,-4.712492e-07,-60
11,0.914237,1657947987.0,0.0329308,-59.99836,136,8,-4.700578e-07,-60
12,0.9834498,1657947987.0,0.102144,-59.99847,136,8,-4.697472e-07,-60
13,1.052654,1657947987.0,0.171347,-59.99838,136,8,-4.697189e-07,-60
14,1.121871,1657947987.0,0.240565,-59.99833,136,8,-4.694953e-07,-60
15,1.191089,1657947987.0,0.309783,-59.99841,136,8,-4.672064e-07,-60
16,1.260305,1657947987.0,0.378999,-59.99841,136,8,-4.651481e-07,-60
17,1.329509,1657947987.0,0.448203,-59.99833,136,8,-4.646851e-07,-60
18,1.398731,1657947987.0,0.517425,-59.99829,136,8,-4.668634e-07,-60
19,1.46794,1657947987.0,0.586634,-59.99839,136,8,-4.658492e-07,-60
20,1.537166,1657947987.0,0.65586,-59.99833,136,8,-4.667217e-07,-60
21,1.606365,1657947987.0,0.725059,-59.99828,136,8,-4.664875e-07,-60
22,1.675579,1657947987.0,0.794272,-59.99837,136,8,-4.643384e-07,-60
23,1.74479,1657947987.0,0.863483,-59.99836,136,8,-4.656154e-07,-60
24,1.813997,1657947987.0,0.932691,-59.99835,136,8,-4.652733e-07,-60
25,1.883189,1657947988.0,0.00188238,-59.99826,136,8,-4.642781e-07,-60
26,1.952394,1657947988.0,0.0710879,-59.99831,136,8,-4.624054e-07,-60
27,2.021606,1657947988.0,0.1403,-59.9984,136,8,-4.626986e-07,-60
28,2.090819,1657947988.0,0.209513,-59.99835,136,8,-4.642598e-07,-60
29,2.160031,1657947988.0,0.278725,-59.99831,136,8,-4.618775e-07,-60
30,2.229246,1657947988.0,0.34794,-59.99826,136,8,-4.630422e-07,-60
31,2.298455,1657947988.0,0.417149,-59.99839,136,8,-4.625664e-07,-60
32,2.367674,1657947988.0,0.486367,-59.99842,136,8,-4.62241e-07,-60
33,2.436894,1657947988.0,0.555588,-59.99832,136,8,-4.617309e-07,-60
34,2.506123,1657947988.0,0.624817,-59.99833,136,8,-4.619656e-07,-60
35,2.575336,1657947988.0,0.69403,-59.9983,136,8,-4.621305e-07,-60
36,2.644547,1657947988.0,0.763241,-59.99831,136,8,-4.613684e-07,-60
37,2.713753,1657947988.0,0.832447,-59.99839,136,8,-4.609921e-07,-60
38,2.782956,1657947988.0,0.90165,-59.99842,136,8,-4.601047e-07,-60
39,2.852177,1657947988.0,0.97087,-59.99827,136,8,-4.619388e-07,-60
40,2.921384,1657947989.0,0.0400781,-59.99837,136,8,-4.600092e-07,-60
41,2.990598,1657947989.0,0.109292,-59.99825,136,8,-4.598384e-07,-60
42,3.059806,1657947989.0,0.1785,-59.99833,136,8,-4.586348e-07,-60
43,3.129013,1657947989.0,0.247707,-59.99832,136,8,-4.603257e-07,-60
44,3.198233,1657947989.0,0.316927,-59.99832,136,8,-4.600784e-07,-60
45,3.267449,1657947989.0,0.386143,-59.99832,136,8,-4.595247e-07,-60
46,3.336663,1657947989.0,0.455357,-59.99835,136,8,-4.599161e-07,-60
47,3.405883,1657947989.0,0.524577,-59.99835,136,8,-4.593923e-07,-60
48,3.4751,1657947989.0,0.593794,-59.99834,136,8,-4.607189e-07,-60
49,3.544321,1657947989.0,0.663015,-59.99836,136,8,-4.589413e-07,-60
50,3.61353,1657947989.0,0.732223,-59.99834,136,8,-4.577073e-07,-60
51,3.682742,1657947989.0,0.801436,-59.99828,136,8,-4.592479e-07,-60
52,3.751962,1657947989.0,0.870656,-59.99837,136,8,-4.580164e-07,-60
53,3.821189,1657947989.0,0.939883,-59.99834,136,8,-4.584269e-07,-60
54,3.890412,1657947990.0,0.00910588,-59.99835,136,8,-4.584493e-07,-60
55,3.959639,1657947990.0,0.0783325,-59.99826,136,8,-4.577977e-07,-60
56,4.028857,1657947990.0,0.147551,-59.99838,136,8,-4.564981e-07,-60
57,4.098074,1657947990.0,0.216768,-59.9983,136,8,-4.5984e-07,-60
58,4.167277,1657947990.0,0.285971,-59.99832,136,8,-4.569955e-07,-60
59,4.236497,1657947990.0,0.355191,-59.99826,136,8,-4.565407e-07,-60
60,4.305715,1657947990.0,0.424409,-59.99823,136,8,-4.607458e-07,-60
61,4.374931,1657947990.0,0.493625,-59.99825,136,8,-4.550021e-07,-60
62,4.444159,1657947990.0,0.562853,-59.99831,136,8,-4.557709e-07,-60
63,4.513377,1657947990.0,0.632071,-59.99823,136,8,-4.569304e-07,-60
64,4.582593,1657947990.0,0.701287,-59.99828,136,8,-4.576896e-07,-60
65,4.651807,1657947990.0,0.770501,-59.99834,136,8,-4.563953e-07,-60
66,4.721024,1657947990.0,0.839718,-59.99834,136,8,-4.565915e-07,-60
67,4.790237,1657947990.0,0.908931,-59.99834,136,8,-4.566323e-07,-60
68,4.859451,1657947990.0,0.978145,-59.99837,136,8,-4.552184e-07,-60
69,4.928665,1657947991.0,0.0473587,-59.99833,136,8,-4.570053e-07,-60
70,4.997877,1657947991.0,0.116571,-59.99839,136,8,-4.547036e-07,-60
71,5.067085,1657947991.0,0.185779,-59.99836,136,8,-4.532855e-07,-60
72,5.13629,1657947991.0,0.254983,-59.99835,136,8,-4.567236e-07,-60
73,5.205505,1657947991.0,0.324199,-59.99835,136,8,-4.567121e-07,-60
74,5.274727,1657947991.0,0.393421,-59.99833,136,8,-4.5715e-07,-60
75,5.343931,1657947991.0,0.462625,-59.99831,136,8,-4.568e-07,-60
76,5.413154,1657947991.0,0.531848,-59.99834,136,8,-4.56771e-07,-60
77,5.482369,1657947991.0,0.601063,-59.99829,136,8,-4.586595e-07,-60
78,5.551587,1657947991.0,0.670281,-59.99832,136,8,-4.562042e-07,-60
79,5.620804,1657947991.0,0.739498,-59.99834,136,8,-4.552386e-07,-60
80,5.690017,1657947991.0,0.808711,-59.99837,136,8,-4.550806e-07,-60
81,5.759237,1657947991.0,0.877931,-59.99837,136,8,-4.561784e-07,-60
82,5.828448,1657947991.0,0.947142,-59.9983,136,8,-4.550172e-07,-60
83,5.897656,1657947992.0,0.0163495,-59.9983,136,8,-4.547384e-07,-60
84,5.966885,1657947992.0,0.0855787,-59.99825,136,8,-4.549486e-07,-60
85,6.036092,1657947992.0,0.154786,-59.99837,136,8,-4.577639e-07,-60
86,6.105316,1657947992.0,0.22401,-59.99828,136,8,-4.560688e-07,-60
87,6.174526,1657947992.0,0.29322,-59.99832,136,8,-4.568059e-07,-60
88,6.243729,1657947992.0,0.362423,-59.99835,136,8,-4.540083e-07,-60
89,6.312949,1657947992.0,0.431643,-59.99843,136,8,-4.56441e-07,-60
90,6.382165,1657947992.0,0.500859,-59.99834,136,8,-4.553298e-07,-60
91,6.451385,1657947992.0,0.570079,-59.99846,136,8,-4.521942e-07,-60
92,6.520597,1657947992.0,0.639291,-59.99832,136,8,-4.549409e-07,-60
93,6.589815,1657947992.0,0.708509,-59.99833,136,8,-4.545317e-07,-60
94,6.659019,1657947992.0,0.777713,-59.99833,136,8,-4.542457e-07,-60
95,6.72824,1657947992.0,0.846934,-59.99839,136,8,-4.554916e-07,-60
96,6.797449,1657947992.0,0.916143,-59.99832,136,8,-4.532866e-07,-60
97,6.866652,1657947992.0,0.985346,-59.99826,136,8,-4.536152e-07,-60
98,6.935866,1657947993.0,0.0545596,-59.99841,136,8,-4.556503e-07,-60
99,7.005075,1657947993.0,0.123769,-59.99832,136,8,-4.545229e-07,-60
100,7.074288,1657947993.0,0.192982,-59.99841,136,8,-4.531707e-07,-60
101,7.143493,1657947993.0,0.262187,-59.99835,136,8,-4.558187e-07,-60
102,7.212702,1657947993.0,0.331396,-59.99841,136,8,-4.549933e-07,-60
103,7.281911,1657947993.0,0.400605,-59.99839,136,8,-4.534806e-07,-60
104,7.351132,1657947993.0,0.469826,-59.99838,136,8,-4.547645e-07,-60
